Type,Bed Room,Bath Room,Floor,city,Area_ft_square,price_million
House,4.0,3.0,2.5,Dagon Myothit (North),1000.0,1170.0
House,2.0,2.0,2.0,Thingangkuun,1200.0,1100.0
Apartment,2.0,2.0,1.0,Hlaing,1610.0,650.0
Apartment,2.0,1.0,5.0,Hlaing,750.0,150.0
Condo,4.0,4.0,1.0,Ahlon,2360.0,1600.0
Condo,3.0,2.0,7.0,Tamwe,1600.0,495.0
Condo,4.0,4.0,1.0,Ahlon,2600.0,1180.0
Condo,3.0,2.0,5.0,Sanchaung,1680.0,700.0
House,1.0,1.0,2.0,Thaketa,2400.0,820.0
Apartment,1.0,1.0,5.0,Sanchaung,687.5,168.5
House,6.0,6.0,3.0,Mayangone,7200.0,4500.0
House,5.0,4.0,2.0,Mayangone,4800.0,4300.0
House,7.0,7.0,3.0,Kamaryut,5445.0,9500.0
House,2.0,2.0,2.0,Mayangone,10000.0,4800.0
House,5.0,5.0,3.0,Dagon Myothit (North),4225.0,3500.0
House,5.0,5.0,2.0,Mayangone,7700.0,6300.0
House,5.0,5.0,3.0,Dagon Myothit (North),4592.0,3500.0
Apartment,1.0,1.0,1.0,Bahan,800.0,360.0
Apartment,1.0,1.0,5.0,Tamwe,750.0,94.0
Apartment,2.0,1.0,1.0,Mayangone,912.0,140.0
Apartment,2.0,1.0,4.0,Hlaing,750.0,150.0
Apartment,4.0,2.0,6.0,Thingangkuun,1800.0,360.0
Apartment,2.0,2.0,1.0,Thingangkuun,1190.0,1300.0
Apartment,2.0,3.0,3.0,Mayangone,1530.0,450.0
Apartment,3.0,1.0,1.0,Sanchaung,750.0,600.0
Apartment,3.0,1.0,3.0,Others,900.0,330.0
Apartment,1.0,1.0,3.0,Mingalartaungnyunt,720.0,144.5
Apartment,2.0,1.0,3.0,Tamwe,880.0,200.0
Condo,3.0,3.0,1.0,Mayangone,1506.0,1350.0
Condo,2.0,2.0,1.0,Lanmadaw,589.0,560.0
House,3.0,3.0,3.0,Thaketa,1250.0,1230.0
Condo,3.0,3.0,1.0,Mayangone,1260.0,1150.0
Condo,3.0,3.0,1.0,Dagon,1800.0,1700.0
Condo,3.0,3.0,1.0,Thingangkuun,1550.0,600.0
Condo,2.0,2.0,1.0,Yankin,1248.0,1080.0
Condo,2.0,2.0,1.0,Ahlon,2000.0,1100.0
House,3.0,3.0,2.0,Thingangkuun,2700.0,1600.0
House,4.0,3.0,2.0,Thingangkuun,2400.0,1500.0
House,3.0,3.0,2.0,Thingangkuun,3600.0,2700.0
House,3.0,3.0,2.0,Thingangkuun,3600.0,1950.0
House,3.0,3.0,2.0,Thingangkuun,1325.0,700.0
House,3.0,2.0,2.0,Tamwe,1500.0,1100.0
House,4.0,4.0,3.0,Dagon Myothit (North),2400.0,1950.0
House,4.0,2.0,2.5,Dagon Myothit (North),2400.0,1500.0
House,3.0,2.0,2.0,Okkalappa South,2400.0,2500.0
House,3.0,2.0,2.0,Okkalappa South,2400.0,2500.0
House,6.0,6.0,3.0,Dagon Myothit (South),8926.0,7500.0
Condo,2.0,2.0,1.0,Hlaing,908.0,850.0
House,5.0,5.0,2.0,Mayangone,7700.0,6300.0
Condo,1.0,1.0,9.0,Lanmadaw,392.0,300.0
Condo,3.0,1.0,1.0,Lanmadaw,1250.0,380.0
Apartment,1.0,1.0,1.0,Botahtaung,625.0,250.0
House,4.0,4.0,2.5,Bahan,4620.0,9500.0
House,4.0,4.0,2.0,Bahan,4600.0,9500.0
House,5.0,5.0,3.0,Yankin,0.25,28900.0
House,5.0,4.0,2.0,Mayangone,8363.0,9000.0
House,5.0,5.0,2.0,Yankin,5700.0,6000.0
Apartment,2.0,2.0,2.0,Lanmadaw,1250.0,450.0
Apartment,2.0,1.0,3.0,Sanchaung,625.0,197.0
Apartment,2.0,1.0,2.0,Sanchaung,625.0,219.0
Apartment,2.0,1.0,2.0,Okkalappa South,756.0,207.0
Apartment,2.0,2.0,4.0,Okkalappa South,972.0,265.0
