price,city,type,bed_room,bath_room,floor,ft_square
11000.0,tamwe,House,3,2.0,2.0,1500.0
19500.0,dagon myothit (north),House,4,4.0,3.0,2400.0
15000.0,dagon myothit (north),House,4,2.0,2.5,2400.0
25000.0,okkalappa south,House,3,2.0,2.0,2400.0
25000.0,okkalappa south,House,3,2.0,2.0,2400.0
75000.0,dagon myothit (south),House,6,6.0,3.0,8926.0
8500.0,hlaing,Condo,2,2.0,1.0,908.0
63000.0,mayangone,House,5,5.0,2.0,7700.0
3000.0,lanmadaw,Condo,1,1.0,9.0,392.0
3800.0,lanmadaw,Condo,3,1.0,1.0,1250.0
2500.0,botahtaung,Apartment,1,1.0,1.0,625.0
95000.0,bahan,House,4,4.0,2.5,4620.0
95000.0,bahan,House,4,4.0,2.0,4600.0
90000.0,mayangone,House,5,4.0,2.0,8363.0
60000.0,yankin,House,5,5.0,2.0,5700.0
4500.0,lanmadaw,Apartment,2,2.0,2.0,1250.0
1970.0,sanchaung,Apartment,2,1.0,3.0,625.0
2190.0,sanchaung,Apartment,2,1.0,2.0,625.0
2070.0,okkalappa south,Apartment,2,1.0,2.0,756.0
2650.0,okkalappa south,Apartment,2,2.0,4.0,972.0
2800.0,okkalappa south,Apartment,2,1.0,2.0,1045.0
3000.0,okkalappa south,Apartment,2,1.0,1.0,972.0
3650.0,okkalappa south,Apartment,2,1.0,1.0,972.0
9500.0,yankin,Condo,3,3.0,1.0,1100.0
5000.0,hlaing,Condo,2,2.0,1.0,855.0
11500.0,yankin,Condo,3,3.0,1.0,1500.0
2490.0,hlaing,Apartment,2,1.0,1.0,750.0
1180.0,tamwe,Apartment,1,1.0,5.0,825.0
3750.0,okkalappa south,Condo,2,2.0,5.0,1026.0
8800.0,yankin,Condo,2,2.0,1.0,1680.0
16500.0,yankin,Condo,3,2.0,33.0,1735.0
12300.0,thaketa,House,3,3.0,3.0,1250.0
23500.0,insein,House,7,7.0,2.5,2400.0
117000.0,bahan,House,5,5.0,3.0,3833.0
7000.0,yankin,Condo,2,2.0,11.0,800.0
8100.0,yankin,Condo,6,3.0,6.0,1798.0
8000.0,hlaing,Condo,2,2.0,1.0,908.0
5200.0,kyeemyindaing,Apartment,2,2.0,0.5,10976.0
1550.0,hlaing,Apartment,1,1.0,6.0,825.0
120000.0,kamaryut,House,5,5.0,2.0,8400.0
45000.0,yankin,House,2,2.0,3.0,2400.0
40000.0,yankin,House,5,4.0,2.0,2100.0
28000.0,thaketa,House,6,5.0,2.5,4800.0
45000.0,mayangone,House,6,6.0,3.0,7200.0
80.0,bahan,House,4,4.0,2.0,4500.0
55000.0,thingangkuun,House,5,4.0,3.5,4664.0
65000.0,ahlon,House,5,5.0,2.0,7700.0
3450.0,sanchaung,Apartment,3,2.0,4.0,1650.0
