price_lakhs,day,month,year,Type,Bed Room,Bath Room,Ownership,Furnishing Type,Floor,Room Partition Type,Flooring Type,State,city,Area_ft_square
21000.0,26,Jan,2026,Condo,3,3,Contract,0,0.0,Master and Single Bedroom,Parquet Flooring,Yangon,Kamaryut,1850.0
6000.0,26,Jan,2026,Condo,3,2,Contract,0,0.0,Master and Single Bedroom,0,Yangon,Kamaryut,1480.0
4600.0,26,Jan,2026,Apartment,3,2,Contract,0,1.0,Master and Single Bedroom,0,Yangon,Okkalappa South,1750.0
73000.0,26,Jan,2026,House,5,5,Grant,0,0.0,Master and Single Bedroom,0,Yangon,Hlaing,4200.0
8700.0,26,Jan,2026,Condo,3,2,Contract,Fully Furnished,0.0,Master and Single Bedroom,Parquet Flooring,Yangon,Mayangone,1850.0
55000.0,26,Jan,2026,House,5,5,Grant,0,2.5,Master Bedroom Only,Parquet Flooring,Yangon,Thingangkuun,4800.0
39000.0,26,Jan,2026,House,5,5,Grant,0,2.0,Master Bedroom Only,0,Yangon,Thingangkuun,4900.0
35000.0,26,Jan,2026,House,5,5,Grant,0,3.0,Master Bedroom Only,0,Yangon,Dagon Myothit (North),4225.0
25000.0,26,Jan,2026,Land,0,0,Grant,0,0.0,0,0,Yangon,Yankin,2925.0
26000.0,26,Jan,2026,House,6,5,Grant,0,3.0,Master and Single Bedroom,0,Yangon,Ahlon,2400.0
38000.0,26,Jan,2026,House,5,5,Contract,0,2.5,Master Bedroom Only,0,Yangon,Thingangkuun,378480.0
40000.0,26,Jan,2026,House,5,4,Grant,0,0.0,Master and Single Bedroom,0,Yangon,Yankin,2100.0
33000.0,26,Jan,2026,House,5,5,Grant,0,3.0,Master and Single Bedroom,0,Yangon,Thingangkuun,3500.0
35000.0,26,Jan,2026,House,6,6,Contract,0,2.5,Master Bedroom Only,Parquet Flooring,Yangon,Dagon Myothit (North),4800.0
50000.0,26,Jan,2026,House,0,0,Grant,0,3.0,Master and Single Bedroom,Parquet Flooring,Yangon,Mayangone,4000.0
60000.0,26,Jan,2026,House,4,4,Contract,0,0.0,Master Bedroom Only,Parquet Flooring,Yangon,Hlaing,4800.0
23500.0,26,Jan,2026,House,0,0,Contract,0,2.5,Master and Single Bedroom,Parquet Flooring,Yangon,Insein,2400.0
3300.0,25,Jan,2026,House,0,1,0,0,0.0,0,0,Yangon,Dagon Myothit (South),1200.0
