price,city,type,bed_room,bath_room,floor,ft_square
2520.0,okkalappa south,Apartment,2,1.0,3,918.0
9000.0,others,Condo,1,2.0,1,1400.0
23000.0,dagon myothit (north),House,5,5.0,2,2400.0
3300.0,hlaing,Apartment,1,1.0,0,800.0
850.0,mayangone,Apartment,1,1.0,3,575.0
18000.0,others,Condo,3,2.0,1,1582.0
6500.0,okkalappa south,House,4,1.0,2,1200.0
24500.0,kamaryut,Condo,3,2.0,7,1650.0
10500.0,others,House,3,3.0,2,2850.0
2760.0,okkalappa south,Apartment,1,1.0,1,972.0
770.0,mayangone,Apartment,1,1.0,5,625.0
23000.0,mayangone,House,4,1.0,2,2400.0
2200.0,sanchaung,Apartment,2,1.0,7,900.0
1170.0,okkalappa south,Apartment,1,1.0,7,972.0
5700.0,sanchaung,Condo,3,2.0,7,1800.0
2850.0,okkalappa south,Apartment,2,1.0,2,972.0
1510.0,sanchaung,Apartment,1,1.0,7,625.0
9500.0,yankin,Condo,2,2.0,1,1168.0
35955.625,yankin,House,5,3.0,2,2400.0
1180.0,thaketa,Apartment,2,1.0,5,990.0
5440.0,tamwe,Condo,2,2.0,1,777.0
1335.0,mayangone,Apartment,1,1.0,4,630.0
1650.0,dagon myothit (south),Apartment,3,1.0,3,1000.0
35955.625,mayangone,House,6,6.0,2,4542.0
35955.625,bahan,House,5,7.0,2,4542.0
35000.0,others,House,4,4.0,2,1500.0
14700.0,dagon myothit (north),House,5,8.0,3,1200.0
2580.0,thaketa,Condo,1,1.0,7,972.0
35955.625,kamaryut,House,4,4.0,1,4542.0
1250.0,thingangkuun,Apartment,1,1.0,1,625.0
35955.625,yankin,House,4,5.0,4,4542.0
12000.0,hlaing,Condo,3,3.0,1,2300.0
3800.0,lanmadaw,Condo,3,1.0,1,1250.0
1339.0,thingangkuun,Apartment,1,1.0,3,625.0
1360.0,okkalappa south,Apartment,2,1.0,5,972.0
6500.0,sanchaung,Condo,3,2.0,5,1680.0
12600.0,dagon myothit (north),House,4,5.0,1,1800.0
1500.0,yankin,Apartment,1,1.0,1,900.0
1600.0,okkalappa south,Apartment,1,1.0,1,687.5
2400.0,yankin,Apartment,2,2.0,1,1050.0
1450.0,kamaryut,Apartment,2,1.0,4,625.0
8700.0,hlaing,Condo,3,3.0,1,1259.0
2950.0,dagon myothit (south),House,6,2.0,2,1200.0
35955.625,hlaing,House,6,5.0,2,4542.0
35955.625,mayangone,House,6,4.0,2,4542.0
4050.0,dagon myothit (south),House,3,2.0,2,1200.0
20000.0,hlaing,House,5,5.0,2,4542.0
35955.625,thingangkuun,House,5,5.0,2,2600.0
5800.0,tamwe,Apartment,4,2.0,1,1650.0
15500.0,hlaing,Condo,3,3.0,1,2150.0
1200.0,tamwe,Apartment,1,1.0,7,650.0
35000.0,yankin,House,3,3.0,2,2400.0
25.0,lanmadaw,Condo,2,2.0,7,945.0
35955.625,mayangone,House,4,3.0,2,4542.0
3000.0,dagon myothit (north),Apartment,2,1.0,3,962.5
9500.0,mayangone,Condo,2,2.0,1,950.0
22000.0,thingangkuun,House,3,2.0,2,3600.0
19000.0,mayangone,Condo,3,3.0,1,1490.0
34000.0,ahlon,Condo,4,4.0,1,1889.0
6445.0,yankin,Condo,3,2.0,2,1289.0
35955.625,dagon myothit (north),House,10,9.0,3,4542.0
19500.0,dagon myothit (north),House,4,3.0,3,2400.0
35955.625,others,House,7,5.0,2,4542.0
2150.0,okkalappa south,Apartment,2,1.0,5,918.0
1250.0,thaketa,Apartment,2,1.0,7,972.0
890.0,thingangkuun,Apartment,1,1.0,5,625.0
5200.0,kamaryut,Condo,2,2.0,7,1300.0
6500.0,thingangkuun,Condo,3,2.0,1,1450.0
3450.0,thanlyin,Condo,1,1.0,7,651.0
2050.0,ahlon,Apartment,1,1.0,4,825.0
2300.0,tamwe,Apartment,2,1.0,3,900.0
9000.0,dagon myothit (north),House,4,3.0,2,1200.0
3600.0,okkalappa south,Apartment,2,1.0,1,972.0
1750.0,thaketa,Apartment,2,1.0,1,972.0
5700.0,sanchaung,Condo,3,2.0,7,1800.0
35955.625,bahan,House,6,7.0,4,4542.0
11200.0,thingangkuun,House,2,2.0,2,1200.0
15000.0,yankin,Condo,3,3.0,1,1520.0
18400.0,yankin,Condo,3,2.0,7,1669.0
35955.625,lanmadaw,House,5,8.0,5,3136.0
20000.0,okkalappa south,House,2,2.0,2,2400.0
11000.0,dagon myothit (north),House,1,1.0,1,2400.0
18400.0,yankin,Condo,3,2.0,7,1669.0
6450.0,thingangkuun,Condo,2,2.0,1,2350.0
730.0,others,Apartment,1,1.0,4,687.5
2880.0,okkalappa south,Apartment,2,2.0,3,972.0
6000.0,kamaryut,Condo,1,1.0,1,1170.0
15000.0,dagon myothit (north),House,6,5.0,3,2400.0
17000.0,dagon myothit (north),House,4,4.0,2,2160.0
2850.0,thaketa,Condo,2,2.0,7,1026.0
35955.625,kamaryut,House,5,5.0,3,4007.0
7200.0,bahan,Condo,3,2.0,1,1100.0
8900.0,dagon myothit (north),House,3,4.0,2,1320.0
4800.0,tamwe,Condo,3,2.0,3,1250.0
8900.0,mayangone,Condo,3,3.0,1,1160.0
18000.0,yankin,House,3,2.0,2,1760.0
20500.0,mayangone,House,5,4.0,2,4240.0
35955.625,bahan,House,6,6.0,3,4200.0
2250.0,okkalappa south,Apartment,3,1.0,5,1265.0
9000.0,others,Condo,1,2.0,7,1750.0
8300.0,yankin,Condo,3,3.0,1,1298.0
1820.0,sanchaung,Apartment,2,1.0,2,625.0
2500.0,lanmadaw,Apartment,1,1.0,5,625.0
2845.0,okkalappa south,Apartment,2,1.0,1,1026.0
6000.0,bahan,Condo,2,2.0,1,1000.0
34500.0,okkalappa south,House,5,5.0,2,2400.0
6500.0,hlaing,Condo,2,2.0,1,2400.0
13000.0,dagon myothit (north),House,3,2.0,2,1200.0
4800.0,okkalappa south,Apartment,2,1.0,0,972.0
3850.0,dagon myothit (south),House,3,2.0,2,1200.0
5550.0,okkalappa south,House,2,2.0,2,1200.0
3450.0,others,Condo,4,2.0,1,1200.0
35955.625,yankin,House,6,5.0,2,4200.0
30000.0,okkalappa south,House,3,2.0,1,2400.0
1530.0,thaketa,Apartment,2,1.0,5,1045.0
11000.0,mayangone,House,4,3.0,2,4542.0
1860.0,thaketa,Apartment,2,1.0,2,972.0
35955.625,mayangone,House,4,4.0,2,4542.0
4950.0,others,Condo,2,2.0,1,1250.0
23000.0,dagon myothit (north),House,3,1.0,1,4542.0
7500.0,sanchaung,Condo,3,2.0,2,1680.0
35955.625,thingangkuun,House,3,3.0,4,4542.0
1200.0,tamwe,Apartment,2,1.0,7,900.0
1490.0,tamwe,Apartment,2,1.0,4,742.5
